waveform_id,exam_id,waveform_type,number_of_leads,Waveform_Start_Time,Sample_Type,Sample_Base,Sample_Exponent,High_Pass_Filter,Low_Pass_Filter,AC_Filter
1100610,550416,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1100823,550715,Median,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1100989,550416,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1101244,551485,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1101262,550715,Rhythm,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1101863,550065,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1102200,550432,Rhythm,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1102597,550432,Median,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1103735,553858,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1103882,553541,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1104161,552856,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1104482,553089,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1104631,553541,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1104753,552838,Rhythm,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1105509,553089,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1105668,553858,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1105827,552856,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1107229,552838,Median,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1107801,555011,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1108221,555846,Rhythm,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1108478,555046,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1109035,554708,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1109163,555046,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1109676,554525,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1109944,555846,Median,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1110260,554525,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1110510,554474,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1110978,554474,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1111095,554708,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1111443,555011,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1111815,556130,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1111932,556934,Rhythm,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1112640,556851,Rhythm,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1113368,556329,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1114021,556329,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1114559,556851,Median,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1114771,556934,Median,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1115047,556130,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1095737,549810,Median,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1097342,549810,Rhythm,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1099529,551991,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1099853,551471,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1100567,551864,Median,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1100680,551437,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1100743,550912,Median,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1100931,550912,Rhythm,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1101108,551864,Rhythm,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1101195,551437,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1102494,551471,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1103465,551991,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1103691,552943,Rhythm,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1104291,552284,Median,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1104316,553554,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1104354,553804,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1104863,552284,Rhythm,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1105107,553554,Rhythm,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1105430,552648,Rhythm,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1105506,553804,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1106185,552943,Median,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1106486,552648,Median,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1107868,554672,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
1107912,554429,Rhythm,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1108260,554415,Rhythm,8,0,CONTINUOUS_SAMPLES,500,0,16,150,NONE
1108909,555540,Median,8,0,CONTINUOUS_SAMPLES,250,0,5,150,NONE
